Nome,CNPJ,setor_economico_bovespa,data,ValorMercado,TotEmFiLP,TotEmFiCP,Receita,PtLqCo,PasNoCir,PasCir,LucroLiquido,Imobil,Fornec,CxOper,Estoques,EBIT,DvPgCP,DeprAmor,ClieCP,CtaRecCP,DpInCP,CaixaEEqCx,AtivoTot,AtvCir,ApFiVrJuLP,AplFin,ApFiVrJuCP,AFAvCAmLP,AFAvCAmCP,linha_na,aplfin,caixaeqvcaixa,contasreceber
AES Tiete E,04128563000110,Utilidade pública,Set 2017,5676527.03,2567757,1036192,1261980,1563474,3235959,1837436,254922,4620194,609339,565558,0,498539,1564,143980,0,289941,0,237676,6636869,1412733,0,0,792318,0,0,1,792318,237676,289941
AES Tiete E,04128563000110,Utilidade pública,Dez 2017,5075342.46,2575245,1014376,1728125,1557690,3263948,1996275,298277,4722142,843105,821183,0,630608,11646,211550,0,312995,0,134593,6817913,1578644,0,0,1069928,0,0,1,1069928,134593,312995
AES Tiete E,04128563000110,Utilidade pública,Mar 2018,4806993.25,3812632,113699,430111,1612175,4504876,1212696,54758,4692487,955190,252364,0,192961,976,66985,0,297726,0,19057,7329747,2124589,0,0,1720329,0,0,1,1720329,19057,297726
AES Tiete E,04128563000110,Utilidade pública,Jun 2018,3859656,3999013,108887,892008,1587015,4659299,1459028,147717,4777312,1018080,505667,0,397485,117452,133783,0,246231,0,22809,7705342,2415862,0,0,2026040,0,0,1,2026040,22809,246231
AES Tiete E,04128563000110,Utilidade pública,Set 2018,3808386.2,4004921,139464,1456852,1520014,4599041,1648229,183085,5392865,1151639,575043,0,535484,104744,205115,0,404525,0,54831,7767284,1818764,0,0,1218962,0,0,1,1218962,54831,404525
AES Tiete E,04128563000110,Utilidade pública,Dez 2018,3989621.2,4007001,120927,1923533,1523474,4638056,1441075,287963,5487291,1111808,691659,0,731108,41585,280076,0,438825,0,152816,7602605,1596022,0,0,881148,0,0,1,881148,152816,438825
AES Tiete E,04128563000110,Utilidade pública,Mar 2019,4378927.85,3510068,650038,501010,1578462,4206160,2024853,62014,5593973,1210463,336955,0,189305,41582,76645,0,408238,0,10486,7809475,1696743,0,0,1148683,13075,0,1,1161758,10486,408238
AES Tiete E,04128563000110,Utilidade pública,Jun 2019,4677617,4144342,78112,996699,1466649,4802826,1645470,97452,5572214,1217168,344262,0,334587,183693,158431,0,306463,0,123723,7914945,1857019,0,0,1273158,0,0,1,1273158,123723,306463
AES Tiete E,04128563000110,Utilidade pública,Set 2019,4950162.43,4154241,70523,1521714,1529330,4776155,1559429,194561,5556658,1217806,702855,0,518009,36294,230755,0,298098,0,156405,7864914,1816255,0,0,1129056,0,0,1,1129056,156405,298098
AES Tiete E,04128563000110,Utilidade pública,Dez 2019,6972462.49,3793141,461804,2049723,1451170,4443818,1903924,300119,5535588,1228330,864671,0,723070,38867,313181,0,342508,0,31838,7798912,1805159,0,0,1330916,0,0,1,1330916,31838,342508
AES Tiete E,04128563000110,Utilidade pública,Mar 2020,5452726350,3816623,442811,494396,1526701,4539801,2017381,75319,5548032,1250033,242851,0,234946,38862,79395,0,359644,0,26389,8083883,1880083,0,0,1369855,0,0,1,1369855,26389,359644
Afluente T,10338320000100,Utilidade pública,Mar 2010,NA,0,0,8063,75837,0,1329,6100,0,0,318,214,6099,968,0,6719,0,28014,0,77166,65433,0,0,0,0,0,1,0,28014,6719
Afluente T,10338320000100,Utilidade pública,Jun 2010,NA,0,0,15978,72829,0,1166,10992,0,95,11772,214,11266,0,0,4014,0,29623,0,73995,62080,0,0,0,0,0,1,0,29623,4014
Afluente T,10338320000100,Utilidade pública,Set 2010,NA,0,0,23087,76882,5,1454,15045,0,0,16164,214,15587,0,0,3930,0,32261,0,78341,65469,0,0,0,0,0,1,0,32261,3930
Afluente T,10338320000100,Utilidade pública,Dez 2010,328042,0,0,31775,76345,22,8610,19027,0,2485,24079,214,19287,0,NA,3902,0,0,37219,84977,67621,0,0,0,0,0,1,0,37219,3902
Afluente T,10338320000100,Utilidade pública,Mar 2011,223951.75,4211,37,6929,81734,4252,6295,5389,0,210,2630,214,5051,4519,0,0,3831,0,43519,92281,74709,0,0,0,0,0,1,0,43519,3831
Afluente T,10338320000100,Utilidade pública,Jun 2012,353276,3728,521,13488,75759,3806,2711,9580,0,514,11389,214,9186,31,0,0,3362,0,25681,82276,61355,0,0,2726,0,0,1,2726,25681,3362
Afluente T,10338320000100,Utilidade pública,Set 2012,NA,3597,533,20061,80397,3690,2665,14218,0,1076,21878,214,13786,31,0,0,3610,0,35760,86752,71295,0,0,2918,0,0,1,2918,35760,3610
Afluente T,10338320000100,Utilidade pública,Dez 2012,189255,3465,533,28242,79668,3549,9993,17691,0,3208,25234,214,17167,0,0,0,4569,0,36976,93210,79057,0,0,0,0,2249,1,2249,36976,4569
Afluente T,10338320000100,Utilidade pública,Mar 2013,227106,3333,534,10717,84273,3375,7264,4605,0,284,7430,214,4543,4232,0,0,3643,0,40957,94912,77770,0,0,0,0,1914,1,1914,40957,3643
Afluente T,10338320000100,Utilidade pública,Jun 2013,220832.5,3202,532,18223,76786,3254,2089,9723,0,556,11695,214,9602,44,0,0,3851,0,28129,82129,65496,0,0,0,0,0,1,0,28129,3851
